english_word,word_type,wolof_meaning
aim,va,tiire
aim at,va,éemu
aim for,v,nata
airy,va,"feex, piix/fiix"
alarmed,va,tiit
alerm used to indicate e (ex),ex,eboo
alight,v,taaka
alike,adj,meéngoo
a lion,n,gaynde
all,adj,yëp
all of a sudden,expressi,bureét
alliance,n,kollërë
allow,v,may
almost,va,"xala, xaw"
alms,n,sarax
alone,v,fere
alone,adv,kot
already,adj,jéeg
also,conj,te
also,adv,"itam/tamit, tam"
amazed,va,waaru
ambush,v,waaf
amen,ex,amiin
among,n,gaanaay
amount,n,nangam
amulet,n,"gaalaaj, pas, teere, xonjom"
an act,n,jëf
an expression of surprise,ex,ii
an idea,n,pexe
an injury caused by,n,jam-jam
an uncircumsized person,n,aat
an understanding,va,gis-gis
and,conj,"nag, te"
and/with,conj,ag/ak
animal,n,rab
ankle,n,doojoor
announce,v,"yeebaane, yëgle"
another,adj,"beneen, doo"
answer,v,"tóntu, uyu, wuyu"
answer with,v,wuyoo
anus,n,"gat, muuti"
anxiety,va,aajo
any,adv,ben
any place,n,féepa
anyone,n,keppa
anything,n,leppa
anywhere,n,féepa
apex,n,cat
apologise,v,tuub
appear,v,feeň
apple,n,pom
apply oil on one's body,v,toocarmeku
apprentice,n,apparanti
approximate,v,xayma
Arab,n,Araab
Arabic decent,n,naar
arabic scholar,n,"Almuudu, taalube"
are,av,"be, mu"
argue,v,"niiroo-naaroo, werante"
arise,v,jóg
arm pit,n,poxotaan
arrive,v,"agsi/egsi, egsi/agsi, eega"
arrive at,v,"aaga/eega, ééga"
arrive sudddenly,adj,jaas
arse,n,sar
article lying about on,n,tereene/terende
artilery,n,gaanaay
as,adv,ko
as long as,conj,komka
as soon as,adj,daldi
as well as,conj,wala
ashamed,va,rus
ashes,n,dóom
ask for,v,ñaan
ask for (someone),v,ñaanal
ass,n,gat
assembly,n,jataay/jotaay
assignment,n,sas
assist,v,dimbale
assistance,n,ndimbal
assume responsibilit,v,gaddu
at,prep,ci
at,postp,la
at the opex.,n,juba
at the tip,n,juba
at tobaski,va,jeeg
ataya,n,lëwal
attack,v,riir
attack verbally,n,aaka
audacious,va,sañ
audience,n,"mbooloo, ndaje"
aunt,n,tanta
aunty (uncle's wife),n,yumpaaň
authority,n,ndiggal
avenge,v,feyu
avoid,va,moytu
avoid,v,otu
axe,n,séemeň
baabab tree,n,guy/buy
baboon,n,gon
baby,n,liir
baby-sitter,n,baambaanekat
back,n,digi-ganaaw
back yard,n,wanag
back-yard,n,ganaawkër
bad odour,v,xesew
badness,adj,mbon
bag,n,saaku
baggage,n,bagaas
baggy,va,yumbux/yumbur
bail out water,v,walax
bait,n,meeb
bakary,n,fuur
