english_word,word_type,wolof_meaning
exactly,adv,tek.
examine,v,seetlu.
exchange,v,wéecée.
excuse,v,baalal.
exhaust,va,jeex.
exhibit,v,won.
exist,n,dunda.
exorcisin,n,ndëppa.
expect,postp,fo.
expect guest,va,seéntu.
expend,v,fere.
expose,v,feeñal.
express condolence,v,jaale.
"express gratitude commen,",adj,gërmande.
expressing contempt,ex,sooy.
expressing sorrow,ex,mas.
expression of certainty,ex,daal.
expression of disgust,ex,cim/cem/cam.
exrete,v,gatal.
extinguish,v,"kamaj, óf."
extract,v,"rooci, rucci."
eye,n,böt.
eye brow,n,éen.
eye brown,n,éen.
eye glasses,n,lunet.
eying,v,piitu.
fabric,n,"ndimó (fiis), piis."
fabricate,v,teg.
face,v,féétéé.
face,va,jublu.
face,prep,kanam.
facilitate,v,jangale.
factory,n,isin.
fade,v,"furi, yaabi."
fade,va,paal.
faeces,n,"day, duul."
fail,v,foo.
fail to fire(gun),adj,foo.
faint,v,xóm.
fair in complexion,va,xeereer.
fair in complixion,va,xees.
faith,n,cofel.
faith,va,ngóm.
fall,v,dal.
fall down,v,daanu.
fall (expression),inten,burum.
fall hard,v,féetéeku.
fall on one's face,v,muxa.
fall on someone,v,ñapaaxu.
fame,n,daraja.
familiar wit,va,miin.
family,n,njaboot.
famous,adj,daraja.
fan,v,"óf, oppa."
fancy,va,xemem.
far,va,sore/sori.
fare,n,paas.
farm,v,bëy.
farmer,n,bëykat.
farming tool,n,ileer.
fart,v,"doxot, fusal."
fashion,n,colin.
fashion,adv,fason.
fast,v,koor.
fast month,n,korite.
fat,n,"diwiñor, gerees."
fat,va,dungus/duf.
father,n,"baay, laabe, paa, papa."
fattern,v,yafal.
fault,n,njuumte.
feaces,n,puup.
feast,n,feet.
feather,n,dunxa.
feed,v,leeyal.
feed by force,v,xol.
feel,v,laamba.
feel cold,v,liw.
feel comfortable,v,yaatal.
feeling,v,guu.
female pilgrim,n,ajaratu.
fence,n,"saaket, tapaat."
ferry,n,tey.
fetch,v,root.
fetch firewood,v,taxañ.
fetch(water),v,root.
few minutes ago,adj,sanxa.
field,n,tool.
fight,v,"jaappoo, xeex, xulóo."
file a complaint,v,kalaame.
fill(in a hole),v,taabi.
fill-up,v,feecali.
film,n,fiim.
filter,v,seega.
filter,n,"seegukaay, xer."
find,v,ut.
find out,v,kisi-kisi.
finger,n,"baaraam, we/wey."
finger-ring,n,jaaru-baaram.
finish,va,jeex.
finish,v,"fëgël, mutali."
finished,va,"raaf, sutal."
finished,adv,banta.
fire,n,safara.
fire wood,n,mata.
firewood,n,"loo, poñit."
first,n,njëkka.
first born child,n,taaw.
first (to do something),n,njëkkee.
fish,v,"gét/nappa, napa."
fish,n,"jën, këccax, ndawal, ngot, yaax."
fish ball,n,bulet.
fisherman,n,"cubalo, móol."
fishing line.,n,caas.
fishing line,n,xiir.
fist,n,këmëx.
fit,va,em.
fit,v,em.
fits,v,xej.
five,n,juroóm.
fix,v,poose.
flake,v,ruus.
flat,n,taapandaar.
flat,va,taaca.
flat fish,n,taapandaar.
flat wood,n,taaparka.
flatter,v,"laanga, neexal."
flavorless,va,saapi.
flavour,n,"cafko/cafka, safaay."
flavouring,n,safal.
flay,v,"fuli, leeli."
flea,n,"fel, meesees."
flee,v,bori.
flick,v,wicax.
flip-flaps,n,carax.
flower,v,firi.
flower(slang),n,geen.
flu,n,xurfaan.
fly,v,naaw.
foam,n,epons.
fold,v,lem.
folk,n,gaa.
follow,v,"leerandu, sibooru, toopa."
follower,n,taalube.
follow (someone),v,toope.
fondle,v,kooca/koocax.
food,n,"cin, ñam."
food made of millet (coos),n,cere.
fool,v,muuse.
fool,va,nax.
fool,n,muxat
foolish,va,toóy
foot,n,tanka
foot print,v,jeégi
foot (sole),n,tëstan
football,n,kupe
footpath,n,teretuwaar
for,prep,pur
for a long time,va,gëj
for anyone,va,yabaate
forbid,v,"aayee, tere"
forbidden,va,xaraam
forbidding,adj,gaaf
force,v,forse
forebode,v,gaanga
forehead,n,jë
foreigner,n,"laakakat, waaliyaan"
foreigner (European),n,tubaab
forest,n,aala
forever,adv,faw
forge,v,"fooj, teg"
forget,v,faate
forgive,v,baalal
forgiveness,v,tuubal
fork,n,furset
form of a stomach up set,adj,fiw
fortune teller,n,gisaan-kat
four,n,ñenent
fouth,n,ñenentéel
frame,v,ów
frame,n,kaadar
framing tools,n,bëyukaay
fraud,adj,forot
freeborn,n,"géer, gor"
freed from slavary,n,gore
freedom,n,alaafiya
Friday,n,Aajuma/gaaw
friend,n,xarit
friends,va,xaritoo
frightened,va,tiit
frock,n,"anaago, forog"
frog,n,mboota
from,postp,la
front,prep,kanam
front yard,n,eeta
frown (face),v,ras
fruit,n,koóni
fruitful,v,teeki
fry,v,"fiiriir, saaf"
fula,n,"firdu, pól"
full,va,"fees, reega, suur"
full (the brim),va,teb
funeral,n,déc/dëj
funny,n,reelu
future teller,n,gisaan-kat
gain,va,xaru
gall bladder,n,wextan
game,n,po
gap between the tooth,n,jaal
garage,v,gaare
garage,n,gaaraas
garantee,v,garanti
garanteed,v,garanti
garden,n,tool
garden egg,n,batanse
garlic,n,laaj
gather,v,"buub, ras"
gather one's harvest,v,gar
gather together,v,dajaloo
gathered,va,rasu
gathering,n,"jataay/jotaay, mbooloo, ndaje"
generation,n,"aaduna, jamaano"
generous,adj,laabiir
gentle,va,yaaraam
genuflect,v,sukka
germinate,va,falu
get away,op,sarul
get away (profane),v,bujul
get ready,v,paree
get to hell,gatul,gatul
get to hell(profane),op,sarul
get up,v,jóg
ghee,n,diwingalam
giant,n,deebal
gift,n,"maye/meye, ndëwénal"
gift of money,n,ndawtal
gills,n,caaxoň
ginger beer,n,jinjar
gingerale,n,jinjar
girl,n,janxa
give,v,xeetali
give a favour,v,njukkal
give a hand,v,feelu
give advice,v,diggal
give allowance,n,buum
give away as gift,n,maye/meye
give birth,v,"jur, wosin"
give charity,v,sarax
give out,v,nii
give thanks,v,santa
give up,v,jëngu
give whole heartedly,va,keéne/eéne
glad,va,bëg
glorify oneself,v,baaku
glue,n,kol
go,v,"dem, taa"
go and collect,v,jëli
go astray,va,sanku
go away,int,aca
go back,v,deelu
go beyond,v,weesu
go by,v,romba
go find,v,uti
go home,v,ñibbi
go in vain,va,kasaara
go look for,v,uti
go on,int,aca
go on pilgrimage,v,aji
go out,v,geéna
go search for,v,wuti
go straight,v,"jubal, taalal"
go suddenly,v,moy
go suddenly(expressi,v,meles
go (through),v,soo
go to,v,waali
go to bed,v,tëdda
go to school,v,jangi
go to work in the ofternn,v,gontu
go together,v,aanda
goat,n,béy
gobble,v,xaabu
God,n,yaala
go(imperative),ex,aca
goitre,n,boolox
gold,n,"oor, urus, wurus"
good,va,neex
good health,n,wargu-yaram
good mannered,va,yaru
goose,n,kanaara
gourd,n,"gamba, kandaama"
govern,v,saytu
government,n,"guwernemaa, nguur"
gown,n,xaftaan
grab quickly,expression,cas
grace,n,maagal
gradually,adj,ndanka
graft,n,jan
grafter,n,jankat
grain,n,peepа
grain a fabric,v,fici
grand child,n,sët
grand parent,n,maam
grape,n,résëň
grass,n,ñax
grate,n,os
grave,n,waraaj
graw,v,net
greatfulness,n,kollërë
greedy,va,"buggé, fóxale, tiit"
green,n,werta
greet,v,nuyu
greet (in the morning),v,saama
greeting,n,maaleekumsalaam
grilled peanuts,n,gerte-lakka/saaf
grimace,v,gaññ/ņiin
grimmace,v,"giiñ, luci, noobi"
grind,v,nij
griot,n,"géwël, ňeeño"
gripping stomach,v,dompat
grope,v,"daj, laambaatu"
groundnut,n,gerte
group of pepleor,n,ganlgen
grow,n,maaga
grumble,v,xultu
guard,n,gardekat
guard,v,"garde, saytu"
guava,n,guyaab
guest,n,gan
guide,n,njiit
Guinea-Bissau,n,Giné Bisaaw
Guinea-Conakary,n,Giné-Konaakiri
Guinea-fowl,n,naat
Guinea-pig,n,kaña
guitar(local),n,xalam
gullet,n,put
gulp,n,guux
gum,n,"ciin, daakaande"
gum boil,n,pat
gun,n,fetel
gutter,n,mbalka
habachi,n,furno
habit,n,jikko
habitual,adv,ka
hair,n,kawar/kawas
hair,va,sëxa
half,n,genawalla
hammer,n,marto
hammock,n,piliyaan
hand over,va,yoor
handicap,n,"lafañ, laago"
handkerchief,n,musuwaar
handle,v,meeb
handover a wife,v,Jeébale
hang,n,lonka
hang,v,"langa, weer"
hanging,va,yooru
hangover,n,laxal
happen,v,"jib, xew"
happiness,va,baaneex
happy,va,bëg
haranguing,n,xaste
hard,va,"naxari, xiis"
hardness,adj,dëgëraay
hare,n,lëg
harvest,v,goob
harvest,n,mbay/mbey
harvest (peanut),v,soo
hat,n,mbaxana
have,v,am
have a cold,n,soj/xurfaan
have a dislocation,v,foxoju
have a flu,n,soj/xurfaan
have a gap in memory,va,gag
have a large family,n,jaboot
have a sexual intercoure,v,kata
have a sprain,v,foxoju
have faith in,va,gëm/góm
have fever,v,sibiru
have just,va,soga/sooga
have just done,va,soga/sooga
have leprosy,adj,ngaana
have less than,v,dese
have little power,n,neéw
have malaria,v,sibiru
have measles,v,nas
have no respect/regard o,va,yabaate
have sex,v,laal
have something unexpectey,va,gomee
have status(slang),va,diis
have the same size,va,em
have the same size,v,em
have time,v,jot
have to,av,war
he,,mungi
he,cp,mu
he,n,la
he she,se,moo
he/she/it is not,fn,du
he/she/it will not,fn,du
head,n,"boopa, nampatal, njiit"
head,v,"en, ilif"
head dress,n,musóor
head for,va,jublu
head of family,n,kilifa
head of the village,n,Alkaali
head tie,n,"fulaar, musóor"
heal,v,faj
healer,n,fajkat
healthy body,n,wargu-yaram
heap,n,saam
heap,v,jal
hear,v,"déega, moy"
heard over,v,jotali
heart,n,xol
heat,n,"tangaay, tangoor"
heaven,n,aljana/arjana
heavy,va,diis
hectar,adj,ëkka
hedgehog,n,saaw
height,n,jëmma/jomma
height,v,loo
hell,n,safara
help,v,"dimbale, jaappale, wollu, xeetali"
help,n,"dimbal, ndimbal"
help in,v,feelu
help someone deliver,v,tiim
help(someone to climb,v,toň
hem,v,"oomba, urlé"
hen,n,pil
henna,n,fuddan
her,spn,moom
herbs,n,ñax
herd,n,geeta
herdsman,n,saamakat
here,dem,fii
here I am,ex,naam
hero,n,"gaynde, jambaar"
hey you!,ex,saa-waay
high blood pressure,n,tasiyon
high tide,n,waame
hill,n,tunda
him,spn,moom
him/her/it,op,ko
hinder,va,koñe
hinder,v,naj
hint,v,gaaral
hippopotamus,n,lebéer
hit,v,mboku
hit(on the back),v,rëkka
hoe,n,"ileer, noos-noos"
hoe,v,noos-noosi
hold,v,"jaappa, tiye, yore, yor"
hold hands,v,jaappoo
hold unto,v,jaappandeku
hold water in one's mouth,v,guuj
hole,n,"bón-bónna, pax, soo"
hole in the ground,n,kamba
hole in the groung,n,kamba a ditch
hollow,n,"kamba a ditch, kamba"
holy,va,"seela, teexet, yiiw"
holy mosque in mecca,n,kaaba
holy place,n,ñaanukaay
holy place in Mecca,n,kaaba
holy water,n,saafara
home,n,suwo
home or (for animals),v,daral
home wears,n,gërgéepa
honesty,n,ngor
honesty,adv,lew
honey,n,lem
honeymoon,n,céetal
hook,n,lonka
hook wink,v,joomal
hooker,n,cagga
hope,va,yaakaar
hope,n,yaakaar
horn(animals),n,béejin
hospital,n,lopitaan
hospitality,n,teranga
hot,va,taanga
hour,n,"waxtu, woxtu/waxtu"
house,n,neeg
house hold,n,njaboot
how,int,naka
how about,conj,nag
how many,int,jolu
how much,int,"jolu, ñaata"
hug,v,lënga
human being,n,"moo, nit"
humid,va,guus
hump,n,joogare
hunch back,n,xuuge
hunchback,n,xojogaane
hundred,n,téeméer
hunger,va,xiif
hungry,va,xiif
hungry(slang),va,xoos
hunt,v,rëbba/robba
hurry,v,gaawantu
hurt,v,"gaan, tëcca/ticca"
hurt,va,gaañu
hurt intensionally,v,gaañe
husband,n,jëkër/jëkar
hygiene,n,cet
hynea,n,bukki
hypertension,n,tasiyon
hypnotize,n,jat
hypnotizer,n,jatkat
hypocrite,n,jaxasekat
I,isp,man
I,se,maa
I am,oe,laa
I am,se,maan
I am,spn,mangi
I am,vp,dama
I am not,fn,duma
I hope,n,mbaa
I say,cp,ma(ne)
I will not,fn,duma
identify,v,taanal
idiot,n,saa
idol,n,"tuur, xërëm"
if,conj,fo
if he,n,su
if it,n,su
if its pleasess God,ex,inchaalaaxu
if she,n,su
if/when they,n,suñu
if/when we,n,suñu
if you,n,soo
iguana,n,bar
ill-fated,va,aay-gaaf
ill-fated,adj,gaaf
ill-fortune,n,cat
ill-lock,adj,gaaf
ill-lock,va,aay
illness,va,"feebar, oopa"
illness,n,jangoro
image,n,der
Imam,n,Elimaan
imitate,v,"roy, toopandoor"
immature,adj,nama
immediately,adj,daldi
immobile,v,laja
impede,va,koñe
impede,v,"laja, naj"
imperative,opt,leen
implements,n,bëyukaay
implicate,v,"moolu, ñaax"
importance,n,"jëriñ, njëriň, soloh"
important,va,jampa
important,n,maaga
impress someone,v,faaru
in,prep,si/ci
in a bad mood,va,say
in a hurry/haste,va,yaakamti
in abundance,va,jax
in agreement,va,deégoo
in debt(kind/cash),va,amel
in diapers,va,ngeenbu
in order to,conj,ndax
in there,prep,сі
in-between,prep,digganté
incense,n,"cuuraay, xeeñal"
inconflict with someoe,va,jotee
inconsiderate (slang),va,fas
increase,v,"yóoka, yóoku"
increase in,adj,buy
incubate,v,bóóf
Indian almond,n,gerte-tubaab
indications,n,melokaan
inevitable,adj,jaas
infant,n,liir
infantile (slang),va,doyadi
inferior quality,v,mbas
inflate,v,yóoku
inform,v,xamal
informed,va,yëg
infront,prep,kanam
inhabitant,n,waa
inherit,n,donna
inject,v,"penku, pikiir"
injury,n,gaañu gaañu
in-law,n,goro
inquisitive,n,faas
inquisitive,adj,kumpa
insect(very tiny insect),n,roj
insert,ex,daabuux
insert,v,"roof, sooti"
inside,prep,biir
inside,n,biir
inside,va,biir
inside out,va,bitarñeku
insinuate,v,gaaral
instigate,v,"gal-gal, ñulug, ruux"
insult,n,saaga
insult,v,"buja, tañca, waas"
intelligence,n,xam-xam
intelligent,va,am-xel
intend to,va,nar
intention,n,coobare
interest,va,ite
interesting,va,xumbal
inter-rival relationship,n,gaamo
inter-tribal relationship,n,kal
intimidate,v,gësëm
intracable,va,të
intuition,n,xam-xam
investigate,v,kisi-kisi
involved with someone,va,jaxasoo
iron,v,"fudda, paase"
iron,n,"feer, weň"
irritate,n,mbuggal
is,av,"be, mu"
is no choice,ex,eboo
Islam,n,"islaam, lislaan"
Isn't that it,inten,xanaa
isolated,va,beru
it,spn,moom
it,cp,mu
it,n,mungi
it,se,moo
it/she/you,n,la
its about time,va,"jege, jegen"
Ivory Coast,n,koddi waar
jamble,va,rux-ruxi
jar,n,njaxa
jaw,n,naamam
jealous,va,"fiir, siis"
jealous of,va,"añaanee, fiire"
jeopardize,v,lor
jeopardized,n,loru
jeopardy,n,lore
jerk,v,bippa
jester,n,"caaxaankat, fokat"
jewelry,n,oor
jinn,n,jine
jocket,n,palto
join,va,seéxa
joke,v,"fo, kaf"
joke with,v,foee/foyee
joker,n,fokat
jokes,n,maye/meye
Jola tribe,n,Joolaa
jolt,v,gësëm
joy,va,baaneex
judge,v,aatee
jug,n,gutta
July,n,suuyee
jumble,va,ruubaate
jumble up,v,jaxase
jump,v,tëb/tob
junction,n,cële/cëla
Juné,n,suwo
karaffe,n,gutta
keep,v,"deñca, log"
keep doing,v,waa
keep fast,v,oor
keeping quiet,vn,dee
kettle,n,satala
key,n,caabi
kick,n,lopet
kick,v,wexxa
kick with tie-heel,v,laja
kick(about one's feet,v,weexu
kid,v,"fo, kaf"
kidding,n,kaf
kill,v,"bóóm, rey"
kilogram,n,kiló
kind,adv,fason
kind of,va,xaw
kindle,v,taal
king,n,buur
kingdom,n,nguur
kiss,v,fóon
kitchen,n,waaň
knee,n,óom
kneel,v,sukka
knife,n,paaka
knock,v,fogga
knock down,v,daanel
knock on something,v,dal
know,v,xam
knowlegde,n,xam-xam
known for,va,xamee
knuckle,v,jooka
kohl,n,tusungal
kola nut,n,guru
labour,n,mat
lack,va,ñakka
lackadaisically,v,daagu
laddle,n,bakku
lady,n,"jeeg, soxna"
lake out,v,lokarbi
lamb,n,mbote
lamb master,n,miswi
lampa,n,lampa
lance,n,xeej
land,v,dal
land (ashore),v,teer
land owner,n,lamaan
language,v,laaka
lantern boat,n,fanaal
large,va,réy
large drum,n,jun-jun
larva,n,walaxnja-xaan
lash,v,kaccari
last,n,"muj, muji"
last bug,va,yaaga
last child of the parents,n,caat
last name,n,santa
last night,n,biig
last year,n,daaw
late,va,tarde
late at night,va,guddee
late for something,va,Fande
late in the afternoon,va,naaje
later,prep,kanam
laugh,v,"kex-kexi, ree"
laundry,n,póot
law,n,yoon
lay down,v,tëral
lay eggs,n,nen
lazy,n,neeg
lazy,va,tayal
leader,n,"boopa, kilifa, njiit"
leaf,n,xob
leak,v,seena
leap,v,"soox, tëb/tob"
learn,v,janga
leather worker,n,uude
leave,v,"baayi, wocca"
leave alone,v,fata
leave for good,va,uus
leave home in anger,v,fay
leave (tiredness),v,xiix
leave with,v,baayee
lecturer,n,jangalekate
leek,n,pooro
left hand,n,caamoñ
lend,v,"aaba, abal, leb"
lend a hand,v,jaappale
lend out,v,abale/able
lend out to someone,v,able
lender,n,aabakat
length of fabric,n,lees
lengthen,v,ñambaas
lessen,n,waañeeku
let,v,may
let her,opt,na
let him,opt,na
let it,opt,na
lether,v,takka
let's do it,ex,aca
letter,n,"araf, bataaxel, leetar"
lettuce,n,salaat
level,va,maasaloo
liar,n,"kaacikat, netalikat"
liar(n),vneg,fenkat
liberal,va,fiix
library,n,kaggu
lice,n,teen
lie,n,kaaci
lie down,v,laa
lie down,va,tëdda
lie flat on one's back,v,jaaxaan
lies,n,duul
life,n,baken
lift,v,"dukat, ëkati"
lift up,v,eñ
lift up and raised,v,ekateku
lift up(a garment),v,og
lift(one's hand to strike,v,xaaci
light,va,"leer, oyof, woyof/oyof"
light,v,"jafal, taal"
light a fire,v,jafal
lighten,v,oyofal
lightening,n,melaxal
like,adj,"kom, ni"
like,v,"bugga, nob"
like,adv,ko
like that,conj,noonu
likeness,va,melo
liking,n,mbuggél
lime,n,limon
limit,v,aapal
line,n,liiñ
linoleum,n,tape
liquid food),v,jeéri
list,v,lim
listen,v,déglu
litre,n,liitar
litter,n,mbalit
little,va,"sew, tuuti"
live,v,dëkka
live,n,"dekka, dunda"
lively,va,xumba
liver,n,rees
living room,n,saal
lizard,n,"sindax, yal"
load,v,"eb, en, sëf/sof, sóf"
lobster,n,suum
local African blouse,n,dagit
local fragrants made fror,n,gonga
local pants,n,caaya
located,va,nekka
lock,v,"caabi, soo"
locket,n,langal
locust bean,n,netetu
lodge,v,"dal, fat"
log,n,"banta, et"
loitering,v,wiiri-waara
lonely,va,wéet
long,adj,gudda
long handle,n,gopp/péel
look,v,"piitu, seet, xool"
look back into oneself,v,geestu
look behind,v,geestu
look down on,v,tiim
look for,v,"wut/ut, wuti"
look for,va,laxaarci/laxaañi
look forward to,va,seéntu
look like,v,mel
look like,va,niroo/nuroo
loose,va,"réeba, yanxa, yëmbëx, yolom, yumbux/yumbur"
loose esteem for,va,iiñ
loose interest,v,yooxi
loose value,v,furi
loose weight,va,"laapa, yooy"
lose,v,"foo, reéral"
lost,va,reér
loud talk,n,naw-nawi
love,n,"mbuggél, nobéel"
love,v,nob
loved one,n,soope
low tide,n,fer
luck,n,worsag
luggage,n,"bagaas, en"
luke warm (water),n,nuga
lull,v,baambaane
lump,n,ooga
lunch,n,añ
lunch at,v,añee
lust,va,xemem
machine,n,masin
madam,n,soxna
mad-person,adj,dof
magistrate,n,aateekat
maid,n,mbindaan
maize flour,n,sanxal
make,v,"defar, jagal"
make a fist,v,danka
make a haste,v,gaawantu
make a hole,v,kopati
make a knot,v,fas
make a line,v,rëdda
make a mistake,v,juum
make a quick stop,v,jadda
make a quick stop while,v,jaada
make a shrill,v,keeku
make a sound,v,jib
make an effort,va,"goór-goórlu, jeém"
make become sour,va,foroxal
make calm,va,emale
make clean,v,setal
make comfortable,v,yaatal
make easy,v,oyofal
make effort,v,koli-koli/kotor-koto
make escape,v,rawal
make fit,va,emale
make fun of,v,kayitloo/këyitloo
make important,av,faydaal
make known,v,xamal
make lively,va,xumbal
make oneself happy,va,baaneexu
make people know of a,v,jafuur
make unconfortable,v,xatal
make use of something,v,jafandu/jëfandu
male cow,n,ëkka
male pilgrim,n,Alaaji
Malian peanut,n,gete-bambara
manage,v,fexe
mandinka masquerade,n,kankuran
mango,n,mangoro
mangrove,n,mankoo
mangroves,n,maangi
maniac,n,pullox
man's name,n,"kaaba, mandu"
manure,n,maño
marabout,n,seriñ
marijuana,n,jaamba
mark,v,marlu
mark of something,n,noo
marker,adv,ka
market,n,ja/je
marriage,n,sëy
marry,v,takka
mash,v,rigin
mason,n,mason
masquerade,n,"kumpo, simba"
massage,v,"bós, dampa, fuy"
masticate,v,saxaarmi
mastubate,v,mbalu
mat,n,ndës/basan
mat/matress,v,ndëstan
matches,n,"almet, mace"
material,n,ndimó (fiis)
matter,n,mbir
matured,va,fendeeku
Mauritania,n,gaanaar
mayoniese,n,mayonees
mayor,n,meer
measles,n,nas
measure,v,"emale, nata, xayma"
meat,n,"ndawal, yaapa"
Mecca,n,makka
medicine,n,garab
meditate,v,xalaat
meditation,n,xalaat
meek,va,teen
meet,v,"dajee, fekka, tasee"
meet with,v,dajee
meeting,n,ndaje
melon,n,xaal
melt,v,"seey, yooy"
memorise,v,tanka
mend,v,"gaar, jagal"
mentally immature person,n,saa
merit,v,eeloo
message,n,"bataaxel, xibaar"
messenger,n,yonnént
metal scurrer,va,xiis
meter,n,meetar
mid wife,n,tiimkat
midnight,n,xaaji-guddi
migrate,v,genta
milk,v,biti
millet,n,"dugub, sanxal"
million,n,alfun
mince,v,ferej
minister,n,minista
mirrow,n,seetu
mischieve,n,caacaay
misfortune,n,kataa
mislead,v,kolooj
miss,v,foo
miss,va,"moy, nama"
miss each other,v,naama
miss someone,v,naama
mistake,n,njuumte
mistake for,v,jaawaatle
mistaken,v,juum
mix,v,"boole, siim"
mix,n,jamba
mix together,v,jaxase
moan,v,onka
mock,v,ñaawal
moist,va,tooy
moisten,n,"tooyal, kaas"
moment,n,"saas, saa"
Monday,n,Altine/Lundi
money,n,xaalis
money box,n,"kees, arankees"
monkey,n,golo
month,n,weer
mood,adj,casgin
moody,n,dikale
moody,va,waame
moon,n,weer
Moor,n,"Amet, naar"
more carefully,va,teey
more carefully,n,moytu
morning,n,subba
mortar,n,genna
mosque,n,"jaaka, jumaa"
mosque head,n,Elimaan
mosquito,n,yoo
mosquitoes,n,"roj, yoo"
mother,n,"ndey, yaay"
motive,v,xiir
motor bike,n,"mobilet, toftof"
mount,v,"ów, war"
mourn,v,tënja
mouse,n,janax/jinax
mouth,n,géemeň
move,v,"kata, randal"
move one's foot about,v,joggi
move(to the side),v,randu
much,adv,fo
much,n,bari
mud,n,"ban, potopoto"
muddy,adj,potopoto
mulatto,n,malaatar
mulch,n,nax
mulching,n,"tun, dajale nax"
mum,n,"meer, yaa"
muscle,n,"caas, fasoo"
muslim,n,seriñ
muslim coffin,n,jaat
muslim feast,n,gaamo
must,av,war
must,n,"fo, fog"
mute,n,"lu, muumu"
my,pa,suma
mystery,va,kumpa
mystified,va,waaru
nail,n,"daaj, ponta/daaj"
nail,v,daaj
name,v,"lim, tuddee"
name,n,"bori, faatu"
name of a fish,n,"coof, jis"
named,n,tudda
naming,n,ngénté
nape,n,loos
napkins,n,ngemba
narrate (a story),v,netali
narrator,n,netalikat
naught,n,"dara, tus"
naughty,va,saasaay
navel,n,jumbax
near,postp,daala
near,va,jege
near by,va,dendoo
nearly,va,xaw
neck,n,baat
need,va,"aajo, soxla"
needle,n,pursa/pusó
"negates ""be"" and ""mu""",av,te
negligent,va,saggan
negligent,n,besexeene
neighbour,n,dëkkandoo
nephew,n,jarbaat
nest,n,"yaa, taaga"
net,n,mbaal
nettle,n,gargamboose
never,adv,muk
new/fresh,adj,ees/bees
news,n,xibaar
next one,adj,beneen
next person,n,keneen
next year,n,dëwën
nice,va,rafet
niece,n,jarbaat
night,n,guddi
nil,va,maas-gu-dan
nil,n,"ndam dikut, ndam demut"
nipple,n,cus
no,ex,deédeét
no one,n,ken
no where,n,fen
nobility,n,ngor
noble,n,"géer, gor"
nobody,n,ken
noise,n,coow
none,adv,ben
noon,n,"becak, bëcëk"
nose,n,bakken
nose bleed,n,bori
nosy,n,dën-kumpa
nosy,va,sob
not in order,va,jagadi
note book,n,karne
nothing,n,dara
notified,va,yëg
notify,v,xamal
notify,n,yëgal
now,adv,leégi
nowadays,n,bii
obituary announcement,n,taage
obligation,n,warugal
obligation(religion),n,farata
obligatory,n,dagan
obliged,av,war
obscure,n,lëndëm
obscure,v,iir
observe,v,seetlu
obstruct to,v,dogandu
occupation,n,méecé
occur,v,xew
ocean,n,geej
odd,n,pata
of course,adv,baña
of course,ex,"ko, waawkaň"
off spring,n,doom
off work,v,waaca
offer,v,"may, nii, so"
offering,n,"soo, meye"
oh!,expression,ey
oil,n,diw
ointment(eye),n,tuuf
ok,n,aca
okra,n,kanja
okra soup,n,supa
old,adj,mag
old,va,maaget
old fashioned,va,xewwi
old man,n,paa
old woman,n,"meer, magget"
on,prep,si/ci
on duties,v,aye
on top,prep,kaw/kow
on top of,prep,kow/kaw
one,adj,benna
one eyed,n,pata
one's heritage,n,"waa, yaa"
one's personal affair,n,mbooja
one's way,n,yoon
oneself,n,suma boppa
onions,n,soble/liñon
only,adv,rek
only,conj,fo
ooh!-exclamation,ex,caa
open,v,ubbi
open one's eye,v,xippi
open one's mouth,v,naan
opened,n,ubéeku
opened,va,lañar
operate,v,xar
operation,n,xar
opium,n,"jaamba, jamba"
opportunity,v,jot
opposite,prep,jaakaarloo
opposite,va,jublu
or,conj,"fo, wala"
oral histori,n,géwël
orange,n,soraans
order,n,yoon
order,v,dogal
organisation,n,mbootaay
orgasm,v,guu
originate,v,faxeeku
orphan,n,baayo
Ostrich,n,banjooli
other,n,beneen
other,adj,doo
others,adj,yeneen
our,pa,suñu
out,postp,banta
out,prep,biti
out dated,n,xewi
out of,va,banka
out of,n,ñaka
out outside,adv,banta
outside,n,biti
outside,postp,banta
outsider,n,doxanéem
oven,n,fuur
over bend,n,ségaa
over bend,v,juutu
over power,v,noot
own,v,moom
own,pospn,yos
ownership,pa,bos
oxen,adj,ëkka
oyster,n,yoxos
pace,v,jeégi
pacify,n,jat
pack,v,pajale
pack one's belonging,va,ebu
packet,n,paket
pad lock,n,karnaat
pagan,n,"ééfar, yéefar"
pain,n,meetit
painful,adj,meéti
paint,v,pentuur
pair,n,peer
palm leaves,va,xiis
palm leaves,n,xobi tiir
palm oil,n,diwtiir
palm rat,n,jaar
palm tree,n,tiir
palm wine,n,sënga
pan,n,paan
pancake,n,"beñe, panket"
pant,v,xiix.
panther,n,tene.
pants,n,tubéy.
pap,n,"fonde, naan-mbuuru, ruy."
paper,n,kayit/këyit.
parents,n,waajur.
park,n,baya'l/baye.
parlour,n,saal.
parrot,n,"coy, caku."
part,n,"paar, xaajo."
part,va,waala.
part,v,"fata, waala."
partake,v,"far, féétéé."
partake,va,waane.
partition,v,iir.
pass,v,"romba, wees."
pass a judgement,v,dogal.
pass on to someone,v,jotali.
past,va,paase.
patch,v,"fata, gaar."
path,n,"mbedda, yoon."
patient,va,teey.
pauper,n,baadoola.
paved road,n,"mbedda, tali."
payer,n,"Joolaa, fay kat."
paymaster,n,"Joolaa, fay kat kattou mak."
payment,n,pey.
peace,n,jaama.
peace on to you,ex,maaleekumsalaam.
peace return to you,n,maaleekumsalaam.
peacock,n,jambajóob.
peanut & beans sauce,n,baase.
